Days_Completed,Patients_At_Risk,Discharges,P_Discharge_Next_Day
0,6423,0,0.0
1,6423,2070,0.3223
2,4353,1372,0.3152
3,2981,772,0.259
4,2209,526,0.2381
5,1683,354,0.2103
6,1329,244,0.1836
7,1085,165,0.1521
8,920,142,0.1543
9,778,110,0.1414
10,668,98,0.1467
11,570,86,0.1509
12,484,48,0.0992
13,436,57,0.1307
14,379,44,0.1161
15,335,39,0.1164
16,296,32,0.1081
17,264,28,0.1061
18,236,30,0.1271
19,206,11,0.0534
20,195,14,0.0718
21,181,15,0.0829
22,166,20,0.1205
23,146,12,0.0822
24,134,7,0.0522
25,127,7,0.0551
26,120,10,0.0833
27,110,13,0.1182
28,97,9,0.0928
29,88,4,0.0455
30,84,84,1.0
